designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 5966503975596047616",5966503975596047616,253.47999612639427,-41.873571826404614,1.4073635176703045,0.5818994681967888,-3.453232113167733,0.9803363,19.81127,2.2688828,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966503975596049920",5966503975596049920,253.48559277490432,-41.86813917233039,,,,,20.500309,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966503975600224768",5966503975600224768,253.48856170693418,-41.866134546915575,,,,,21.100557,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966503975600224896",5966503975600224896,253.48816568759028,-41.8658393793549,,,,,20.631945,1.6294918,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966503975600233344",5966503975600233344,253.4946917291297,-41.87172547412583,-1.5717484829000363,-0.4014740056007432,-5.0479753505256255,1.1131703,20.453512,1.790842,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966503975600238976",5966503975600238976,253.4949132784851,-41.8763066779109,1.1730373807135126,-1.7502105996976391,-0.8847509258443678,0.96367073,20.503525,1.9409637,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966503975601175424",5966503975601175424,253.48022440335234,-41.87269711581788,,,,,20.660767,,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966503975605883392",5966503975605883392,253.4926640300354,-41.87329226824577,0.22256946954745868,-2.7210980763981816,-2.7091657741251836,1.0096133,19.25849,2.9858437,,"NOT_AVAILABLE",0,false,false,false,false,false,false,false,,,,,,,
"Gaia DR3 5966503975605885696",5966503975605885696,253.49054058390703,-41.871989670344625,0.6348239612102897,-0.4846854820738332,-2.3957315418014153,0.95564187,14.522861,1.5040474,-33.904415,"VARIABLE",0,true,true,false,true,false,false,true,5563.3306,3.6659,-0.5657,1200.3063,1.5598,1.2285,0.6676
"Gaia DR3 5966503975605895680",5966503975605895680,253.48747243963004,-41.86538607217863,0.7910935268520359,2.9390163993180733,5.097365349107669,1.072367,14.217893,1.5283461,-20.092657,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5294.201,3.4218,-0.0999,1650.2928,1.4257,1.1114,0.598
